Feature,Importance
BIRTH_COUNTRY_SRI LANKA,0.0012041993
COURSE_CD_FULL_ALT_849AA.2,0.0012029195
COURSE_TITLE_Graduate Certificate In Heritage Materials Conservation,0.0011999798
COURSE_CD_FULL_ALT_ARAR02.1,0.0011944936
COURSE_CD_FULL_ALT_352JA.1,0.0011915184
COURSE_CD_FULL_ALT_147JA.3,0.0011896348
"LOCATION_DESCRIPTION_UC - Global Business College of Australia, Melbourne",0.0011887305
BIRTH_COUNTRY_KUWAIT,0.0011884603
COURSE_CD_FULL_ALT_780AA.2,0.001184836
COURSE_CD_FULL_ALT_324JA.4,0.0011836397
COURSE_CD_FULL_ALT_924AA.4,0.0011805275
BIRTH_COUNTRY_BRUNEI DARUSSALAM,0.0011800098
COURSE_TITLE_Bachelor Of Politics And International Relations,0.0011771207
COURSE_CD_FULL_ALT_723AA.4,0.0011748826
COURSE_TITLE_Bachelor Of Business Studies (Online),0.0011744321
BIRTH_COUNTRY_JORDAN,0.0011734329
BIRTH_COUNTRY_MAURITIUS,0.0011642615
COURSE_CD_FULL_ALT_706AA.8,0.0011608945
COURSE_CD_FULL_ALT_769AA.4,0.0011600398
COURSE_CD_FULL_ALT_322JA.2,0.0011596939
COURSE_CD_FULL_ALT_140AA.1,0.0011577433
BIRTH_COUNTRY_CHINA (EXCLUDES SARS AND TAIWAN),0.0011556512
COURSE_CD_FULL_ALT_332JA.1,0.0011554731
COURSE_CD_FULL_ALT_MGB103.1,0.0011520847
COURSE_CD_FULL_ALT_SCB001.2,0.0011517932
COURSE_CD_FULL_ALT_279JA.2,0.0011461478
COURSE_CD_FULL_ALT_371JA.1,0.0011435536
COURSE_CD_FULL_ALT_173JA.1,0.0011433804
COURSE_CD_FULL_ALT_326JA.1,0.0011419889
COURSE_CD_FULL_ALT_188JA.2,0.0011383956
COURSE_CD_FULL_ALT_924AA.5,0.0011362039
COURSE_CD_FULL_ALT_ITM001.1,0.0011350684
COURSE_TITLE_Bachelor Of Medical Radiation Science (Medical Imaging),0.001132121
BIRTH_COUNTRY_RUSSIAN FEDERATION,0.0011309201
COURSE_CD_FULL_ALT_973AA.3,0.001129323
COURSE_CD_FULL_ALT_EDC102.1,0.00112566
COURSE_TITLE_Bachelor Of Software Engineering/Bachelor Of Business Informatics,0.0011234485
FACULTY_CODE_FCY-STC,0.0011205573
COURSE_CD_FULL_ALT_ARSC01.1,0.0011201134
COURSE_TITLE_Bachelor Of Midwifery,0.0011190226
COURSE_CD_FULL_ALT_794AA.5,0.0011162688
COURSE_CD_FULL_ALT_132JA.3,0.0011131169
COURSE_CD_FULL_ALT_182JA.2,0.0011067267
FACULTY_CODE_FCY-BGL,0.0011036771
COURSE_TITLE_Graduate Certificate In Public Administration,0.0010950755
COURSE_CD_FULL_ALT_327JA.2,0.0010930896
COURSE_CD_FULL_ALT_202JA.3,0.0010917021
COURSE_CD_FULL_ALT_MGB106.1,0.0010916766
COURSE_TITLE_Master Of Communication,0.0010792102
COURSE_CD_FULL_ALT_203JA.1,0.0010739905
COURSE_CD_FULL_ALT_327JA.1,0.0010738554
COURSE_CD_FULL_ALT_767AA.4,0.001072449
FACULTY_CODE_FCY-EDC,0.0010717042
COURSE_TITLE_Bachelor Of Science In Psychology,0.0010708479
COURSE_CD_FULL_ALT_973AA.4,0.0010694505
BIRTH_COUNTRY_FRANCE,0.0010686326
COURSE_CD_FULL_ALT_158JA.4,0.0010672557
BIRTH_COUNTRY_QATAR,0.00106522
BIRTH_COUNTRY_AFGHANISTAN,0.0010641762
COURSE_CD_FULL_ALT_MGB301.1,0.0010593947
COURSE_CD_FULL_ALT_SCHL01.1,0.0010590614
BIRTH_COUNTRY_NETHERLANDS,0.0010581305
COURSE_CD_FULL_ALT_EDB001.1,0.0010564578
COURSE_TITLE_Bachelor Of Information Technology / Bachelor Of Media Arts And Production,0.0010554445
COURSE_CD_FULL_ALT_HLC301.1,0.0010532764
"LOCATION_DESCRIPTION_UC - TAFE NSW Northern Sydney, St Leonard's",0.00105305
COURSE_CD_FULL_ALT_SCC101.1,0.0010519903
COURSE_CD_FULL_ALT_186JA.1,0.001051871
COURSE_CD_FULL_ALT_MGAR01.1,0.0010496518
COURSE_CD_FULL_ALT_309JA.2,0.00104949
COURSE_TITLE_Bachelor Of Acting And Performance,0.0010446737
ABORIG_TORRES_OF ABORIGINAL AND TORRES STRAIT ISLANDER ORIGIN,0.0010431501
COURSE_CD_FULL_ALT_233JA.2,0.0010405603
BIRTH_COUNTRY_CAMBODIA,0.00103796
COURSE_TITLE_Bachelor Of Design (Industrial Design),0.0010369204
BIRTH_COUNTRY_BELGIUM,0.0010367553
COURSE_TITLE_Bachelor Of Information Technology,0.001035343
COURSE_CD_FULL_ALT_MGB101.1,0.0010336608
AGE_RANGE_40 to 49,0.001031103
COURSE_CD_FULL_ALT_223ZA.1,0.0010302543
COURSE_CD_FULL_ALT_202JA.4,0.0010259287
COURSE_CD_FULL_ALT_SCB301.1,0.0010257193
COURSE_CD_FULL_ALT_ARM201.2,0.0010174853
COURSE_CD_FULL_ALT_723AA.3,0.0010135629
COURSE_TITLE_Bachelor Of International Business,0.0010126184
COURSE_CD_FULL_ALT_142JA.3,0.0010115613
COURSE_TITLE_Bachelor Of Landscape Architecture (Honours),0.0010093873
COURSE_CD_FULL_ALT_158JA.3,0.0010078778
BIRTH_COUNTRY_GHANA,0.0010059873
BIRTH_COUNTRY_SYRIA,0.0010009127
COURSE_CD_FULL_ALT_SCHL01.2,0.0009998278
COURSE_TITLE_Graduate Diploma In Information Technology,0.000997909
BIRTH_COUNTRY_ARGENTINA,0.0009978785
COURSE_CD_FULL_ALT_333JA.1,0.0009942965
COURSE_CD_FULL_ALT_MGB305.1,0.0009934956
COURSE_CD_FULL_ALT_ARM201.1,0.0009931258
COURSE_CD_FULL_ALT_ARC601.1,0.0009918456
COURSE_CD_FULL_ALT_MGM201.1,0.0009910535
COURSE_CD_FULL_ALT_305JA.1,0.0009903689
COURSE_CD_FULL_ALT_915AA.2,0.0009892299
COURSE_CD_FULL_ALT_251JA.1,0.0009886652
COURSE_TITLE_Graduate Certificate In Business,0.0009867412
COURSE_CD_FULL_ALT_SCM501.1,0.0009848963
